id;name;description;price;sise;image;image_content_type
1;though;humble partially;8155;L;../fake-data/blob/hipster.png;image/png
2;than evergreen;sake phew;4995.02;S;../fake-data/blob/hipster.png;image/png
3;after colorfully;gratefully low oof;7434.88;XL;../fake-data/blob/hipster.png;image/png
4;versus neatly weakly;exemplify ack moonlight;12723.66;XXL;../fake-data/blob/hipster.png;image/png
5;circa;barring considering which;16021.47;L;../fake-data/blob/hipster.png;image/png
6;meanwhile peaceful instead;though conjure;8620.81;L;../fake-data/blob/hipster.png;image/png
7;habitat er disgorge;why forest so;31334.29;XXL;../fake-data/blob/hipster.png;image/png
8;hero tensely;hence jazz yahoo;21449.42;XL;../fake-data/blob/hipster.png;image/png
9;rick;what pungent;16441.32;M;../fake-data/blob/hipster.png;image/png
10;deliberately upon shady;foreclose hm succeed;12691.32;XXL;../fake-data/blob/hipster.png;image/png
